10/16 18:15:00.220|EXEC_START  |
--/-- --:--:--.---|INFO        |実行日時(Date) 入力=[2024-10-16T18:15:00.276+0900]
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリParam, VALUE=20241016181500_na0000mvvv000980e4pnrntip554_WE0502
--/-- --:--:--.---|INFO        |作業用ディレクトリParam(String) 入力=[20241016181500_na0000mvvv000980e4pnrntip554_WE0502]
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリParam, VALUE=20241016181500_na0000mvvv000980e4pnrntip554_error
--/-- --:--:--.---|INFO        |エラーディレクトリParam(String) 入力=[20241016181500_na0000mvvv000980e4pnrntip554_error]
--/-- --:--:--.---|VARIABLE    |NAME=バックアップディレクトリParam, VALUE=20241016181500_na0000mvvv000980e4pnrntip554_backup
--/-- --:--:--.---|INFO        |バックアップディレクトリParam(String) 入力=[20241016181500_na0000mvvv000980e4pnrntip554_backup]
10/16 18:15:00.276|END         |
10/16 18:15:00.276|START       |NAME=各種一時Dir作成処理 
10/16 18:15:00.276|SCRIPT_START|SCRIPT=一時フォルダ作成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=6
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ名, VALUE=20241016181500_na0000mvvv000980e4pnrntip554_WE0502
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダ名, VALUE=20241016181500_na0000mvvv000980e4pnrntip554_error
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0502/ERROR
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダ名, VALUE=20241016181500_na0000mvvv000980e4pnrntip554_backup
10/16 18:15:00.276|START       |NAME=処理フォルダ存在確認 [file_operation_adapter/check_exist_file]
10/16 18:15:00.281|END         |
10/16 18:15:00.281|BRANCH_START|NAME=if4
--/-- --:--:--.---|EVALUATION  |NAME=処理フォルダ有り, RESULT=false
10/16 18:15:00.281|BRANCH_END  |
10/16 18:15:00.281|START       |NAME=処理フォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502]ディレクトリを作成しました。
10/16 18:15:00.283|END         |
10/16 18:15:00.283|START       |NAME=バックアップフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/16 18:15:00.286|END         |
10/16 18:15:00.286|BRANCH_START|NAME=if5
--/-- --:--:--.---|EVALUATION  |NAME=バックアップフォルダ無し, RESULT=true
10/16 18:15:00.286|START       |NAME=バックアップフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup]ディレクトリを作成しました。
10/16 18:15:00.294|END         |
10/16 18:15:00.294|BRANCH_END  |
10/16 18:15:00.294|START       |NAME=エラーフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/16 18:15:00.295|END         |
10/16 18:15:00.295|BRANCH_START|NAME=if6
--/-- --:--:--.---|EVALUATION  |NAME=エラーフォルダ無し, RESULT=true
10/16 18:15:00.295|START       |NAME=エラーフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error]ディレクトリを作成しました。
10/16 18:15:00.302|END         |
10/16 18:15:00.302|BRANCH_END  |
10/16 18:15:00.302|START       |NAME=変数格納1 
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダパス, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502
--/-- --:--:--.---|INFO        |処理フォルダパス(String) 入力=[/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502]
10/16 18:15:00.302|END         |
10/16 18:15:00.302|SCRIPT_END  |EXIT_STATUS=0
10/16 18:15:00.302|END         |
10/16 18:15:00.302|START       |NAME=各種一時Dir結果取得 
--/-- --:--:--.---|VARIABLE    |NAME=バックアップディレクトリ, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup
--/-- --:--:--.---|INFO        |バックアップディレクトリ(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup]
