10/16 23:35:00.081|EXEC_START  |
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダ名, VALUE=20241016113500_jq0000mvvv000980e461pjhkp55e_backup
10/16 23:35:00.126|START       |NAME=処理フォルダ存在確認 [file_operation_adapter/check_exist_file]
10/16 23:35:00.131|END         |
10/16 23:35:00.131|BRANCH_START|NAME=if4
--/-- --:--:--.---|EVALUATION  |NAME=処理フォルダ有り, RESULT=false
10/16 23:35:00.131|BRANCH_END  |
10/16 23:35:00.131|START       |NAME=処理フォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301]ディレクトリを作成しました。
10/16 23:35:00.133|END         |
10/16 23:35:00.133|START       |NAME=バックアップフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/16 23:35:00.134|END         |
10/16 23:35:00.134|BRANCH_START|NAME=if5
--/-- --:--:--.---|EVALUATION  |NAME=バックアップフォルダ無し, RESULT=true
10/16 23:35:00.134|START       |NAME=バックアップフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0301/BACKUP/20241016113500_jq0000mvvv000980e461pjhkp55e_backup]ディレクトリを作成しました。
10/16 23:35:00.142|END         |
10/16 23:35:00.142|BRANCH_END  |
10/16 23:35:00.142|START       |NAME=エラーフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/16 23:35:00.143|END         |
10/16 23:35:00.143|BRANCH_START|NAME=if6
--/-- --:--:--.---|EVALUATION  |NAME=エラーフォルダ無し, RESULT=true
10/16 23:35:00.143|START       |NAME=エラーフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0301/ERROR/20241016113500_jq0000mvvv000980e461pjhkp55e_error]ディレクトリを作成しました。
10/16 23:35:00.152|END         |
10/16 23:35:00.152|BRANCH_END  |
10/16 23:35:00.152|START       |NAME=変数格納1 
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0301/BACKUP/20241016113500_jq0000mvvv000980e461pjhkp55e_backup
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0301/BACKUP/20241016113500_jq0000mvvv000980e461pjhkp55e_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0301/ERROR/20241016113500_jq0000mvvv000980e461pjhkp55e_error
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0301/ERROR/20241016113500_jq0000mvvv000980e461pjhkp55e_error]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダパス, VALUE=/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301
--/-- --:--:--.---|INFO        |処理フォルダパス(String) 入力=[/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301]
10/16 23:35:00.152|END         |
10/16 23:35:00.152|SCRIPT_END  |EXIT_STATUS=0
10/16 23:35:00.152|END         |
10/16 23:35:00.152|START       |NAME=開始ログ出力 
10/16 23:35:00.152|SCRIPT_START|SCRIPT=ログ出力, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=9
--/-- --:--:--.---|VARIABLE    |NAME=param02, VALUE=実行プロジェクト作成
--/-- --:--:--.---|VARIABLE    |NAME=カテゴリ, VALUE=START
--/-- --:--:--.---|VARIABLE    |NAME=param01, VALUE=WE0301
--/-- --:--:--.---|VARIABLE    |NAME=メッセージID, VALUE=MSG0101
10/16 23:35:00.152|START       |NAME=メッセージ取得 
--/-- --:--:--.---|VARIABLE    |NAME=ログレベル, VALUE=I
--/-- --:--:--.---|INFO        |ログレベル(String) 入力=[I]
--/-- --:--:--.---|VARIABLE    |NAME=メッセージ, VALUE=jq0000mvvv000980e461pjhkp55e WE0301（実行プロジェクト作成）処理を開始します。
--/-- --:--:--.---|INFO        |メッセージ(String) 入力=[jq0000mvvv000980e461pjhkp55e WE0301（実行プロジェクト作成）処理を開始します。]
--/-- --:--:--.---|VARIABLE    |NAME=実行ID, VALUE=jq0000mvvv000980e461pjhkp55e
--/-- --:--:--.---|INFO        |実行ID(String) 入力=[jq0000mvvv000980e461pjhkp55e]
10/16 23:35:00.155|END         |
10/16 23:35:00.155|BRANCH_START|NAME=ログレベル判定
--/-- --:--:--.---|EVALUATION  |NAME=INFO, RESULT=true
10/16 23:35:00.155|START       |NAME=ログ出力_INFO 
10/16 23:35:00.155|END         |
10/16 23:35:00.155|BRANCH_END  |
10/16 23:35:00.155|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=異常終了, RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=警告終了, RESULT=false
10/16 23:35:00.155|BRANCH_END  |
10/16 23:35:00.155|SCRIPT_END  |EXIT_STATUS=0
10/16 23:35:00.155|END         |
10/16 23:35:00.155|START       |NAME=規制情報設定(開始) 
10/16 23:35:00.155|SCRIPT_START|SCRIPT=規制情報/01_規制情報設定_開始, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=5
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0301
--/-- --:--:--.---|VARIABLE    |NAME=レコードNo, VALUE=100
10/16 23:35:00.155|TRY_START   |NAME=try_catch
10/16 23:35:00.155|START       |NAME=規制情報更新 [amazon_rds_postgresql_adapter/execute_select_query]
--/-- --:--:--.---|INFO        |[1]件のデータの抽出に成功しました。
10/16 23:35:00.161|END         |
10/16 23:35:00.161|BRANCH_START|NAME=結果判定
--/-- --:--:--.---|EVALUATION  |NAME=更新失敗(規制中), RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=更新失敗(その他エラー), RESULT=false
10/16 23:35:00.161|BRANCH_END  |
10/16 23:35:00.161|TRY_END     |
10/16 23:35:00.161|SCRIPT_END  |EXIT_STATUS=0
10/16 23:35:00.161|END         |
10/16 23:35:00.161|BRANCH_START|NAME=if_3
--/-- --:--:--.---|EVALUATION  |NAME=規制情報設定(開始)エラー, RESULT=false
10/16 23:35:00.161|BRANCH_END  |
10/16 23:35:00.161|START       |NAME=変数格納 
--/-- --:--:--.---|VARIABLE    |NAME=運用日付, VALUE=2024-10-16T23:35:00.126+0900
--/-- --:--:--.---|INFO        |運用日付(String) 入力=[2024-10-16T23:35:00.126+0900]
--/-- --:--:--.---|VARIABLE    |NAME=PJ情報（実行PJ）ファイルフィルター, VALUE=K01OUT01\d{8}[1-3]
--/-- --:--:--.---|INFO        |PJ情報（実行PJ）ファイルフィルター(String) 入力=[K01OUT01\d{8}[1-3]]
--/-- --:--:--.---|VARIABLE    |NAME=実行PJ情報連携（提案商品紐付け）ファイルフィルター, VALUE=K01OUT03\d{8}[1-3]
--/-- --:--:--.---|INFO        |実行PJ情報連携（提案商品紐付け）ファイルフィルター(String) 入力=[K01OUT03\d{8}[1-3]]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ, VALUE=/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301
--/-- --:--:--.---|INFO        |処理フォルダ(String) 入力=[/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301]
--/-- --:--:--.---|VARIABLE    |NAME=処理結果フラグ, VALUE=0
--/-- --:--:--.---|INFO        |処理結果フラグ(int) 入力=[0]
--/-- --:--:--.---|VARIABLE    |NAME=実行ID, VALUE=jq0000mvvv000980e461pjhkp55e
--/-- --:--:--.---|INFO        |実行ID(String) 入力=[jq0000mvvv000980e461pjhkp55e]
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0301/BACKUP/20241016113500_jq0000mvvv000980e461pjhkp55e_backup
