10/17 05:55:00.476|EXEC_START  |
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203300/BACKUP]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0203300/ERROR
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203300/ERROR]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称（フィルター）1, VALUE=034-000*
--/-- --:--:--.---|INFO        |ファイル名称（フィルター）1(String) 入力=[034-000*]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称（フィルター）2, VALUE=
--/-- --:--:--.---|INFO        |ファイル名称（フィルター）2(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=運用日付判定(時), VALUE=21
--/-- --:--:--.---|INFO        |運用日付判定(時)(String) 入力=[21]
--/-- --:--:--.---|VARIABLE    |NAME=運用日付判定(分), VALUE=30
--/-- --:--:--.---|INFO        |運用日付判定(分)(String) 入力=[30]
--/-- --:--:--.---|VARIABLE    |NAME=予備１（作業用フォルダ）, VALUE=/data/MERGE/app/data/WE0203000/work/0101
--/-- --:--:--.---|INFO        |予備１（作業用フォルダ）(String) 入力=[/data/MERGE/app/data/WE0203000/work/0101]
--/-- --:--:--.---|VARIABLE    |NAME=予備２（サービス名）, VALUE=ギガらくWi-Fi／SO含む
--/-- --:--:--.---|INFO        |予備２（サービス名）(String) 入力=[ギガらくWi-Fi／SO含む]
--/-- --:--:--.---|VARIABLE    |NAME=予備３, VALUE=
--/-- --:--:--.---|INFO        |予備３(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備４, VALUE=
--/-- --:--:--.---|INFO        |予備４(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備５, VALUE=
--/-- --:--:--.---|INFO        |予備５(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備６, VALUE=
--/-- --:--:--.---|INFO        |予備６(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備７, VALUE=
--/-- --:--:--.---|INFO        |予備７(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備８, VALUE=
--/-- --:--:--.---|INFO        |予備８(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備９, VALUE=
--/-- --:--:--.---|INFO        |予備９(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備１０, VALUE=
--/-- --:--:--.---|INFO        |予備１０(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ, VALUE=20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203
--/-- --:--:--.---|INFO        |処理フォルダ(String) 入力=[20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203]
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダ名, VALUE=20241017055500_j20000mvvv000980e4tpjjs4p55o_backup
--/-- --:--:--.---|INFO        |バックアップフォルダ名(String) 入力=[20241017055500_j20000mvvv000980e4tpjjs4p55o_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダ名, VALUE=20241017055500_j20000mvvv000980e4tpjjs4p55o_error
--/-- --:--:--.---|INFO        |エラーフォルダ名(String) 入力=[20241017055500_j20000mvvv000980e4tpjjs4p55o_error]
10/17 05:55:00.521|END         |
10/17 05:55:00.521|BRANCH_START|NAME=if_1
--/-- --:--:--.---|EVALUATION  |NAME=AP設定エラー, RESULT=false
10/17 05:55:00.521|BRANCH_END  |
10/17 05:55:00.521|START       |NAME=開始ログ出力 
10/17 05:55:00.521|SCRIPT_START|SCRIPT=ログ出力, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=9
--/-- --:--:--.---|VARIABLE    |NAME=param02, VALUE=サポートサービス等応対情報取込
--/-- --:--:--.---|VARIABLE    |NAME=カテゴリ, VALUE=START
--/-- --:--:--.---|VARIABLE    |NAME=param01, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=メッセージID, VALUE=MSG0101
10/17 05:55:00.522|START       |NAME=メッセージ取得 
--/-- --:--:--.---|VARIABLE    |NAME=ログレベル, VALUE=I
--/-- --:--:--.---|INFO        |ログレベル(String) 入力=[I]
--/-- --:--:--.---|VARIABLE    |NAME=メッセージ, VALUE=j20000mvvv000980e4tpjjs4p55o WE0203（サポートサービス等応対情報取込）処理を開始します。
--/-- --:--:--.---|INFO        |メッセージ(String) 入力=[j20000mvvv000980e4tpjjs4p55o WE0203（サポートサービス等応対情報取込）処理を開始します。]
--/-- --:--:--.---|VARIABLE    |NAME=実行ID, VALUE=j20000mvvv000980e4tpjjs4p55o
--/-- --:--:--.---|INFO        |実行ID(String) 入力=[j20000mvvv000980e4tpjjs4p55o]
10/17 05:55:00.525|END         |
10/17 05:55:00.525|BRANCH_START|NAME=ログレベル判定
--/-- --:--:--.---|EVALUATION  |NAME=INFO, RESULT=true
10/17 05:55:00.525|START       |NAME=ログ出力_INFO 
10/17 05:55:00.525|END         |
10/17 05:55:00.525|BRANCH_END  |
10/17 05:55:00.525|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=異常終了, RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=警告終了, RESULT=false
10/17 05:55:00.525|BRANCH_END  |
10/17 05:55:00.525|SCRIPT_END  |EXIT_STATUS=0
10/17 05:55:00.525|END         |
10/17 05:55:00.525|START       |NAME=規制情報設定(開始) 
10/17 05:55:00.525|SCRIPT_START|SCRIPT=規制情報/01_規制情報設定_開始, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=5
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=レコードNo, VALUE=300
10/17 05:55:00.525|TRY_START   |NAME=try_catch
10/17 05:55:00.525|START       |NAME=規制情報更新 [amazon_rds_postgresql_adapter/execute_select_query]
--/-- --:--:--.---|INFO        |[1]件のデータの抽出に成功しました。
10/17 05:55:00.530|END         |
10/17 05:55:00.530|BRANCH_START|NAME=結果判定
--/-- --:--:--.---|EVALUATION  |NAME=更新失敗(規制中), RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=更新失敗(その他エラー), RESULT=false
10/17 05:55:00.530|BRANCH_END  |
10/17 05:55:00.530|TRY_END     |
10/17 05:55:00.530|SCRIPT_END  |EXIT_STATUS=0
10/17 05:55:00.530|END         |
10/17 05:55:00.531|BRANCH_START|NAME=if_2
--/-- --:--:--.---|EVALUATION  |NAME=規制情報設定(開始)エラー, RESULT=false
10/17 05:55:00.531|BRANCH_END  |
10/17 05:55:00.531|START       |NAME=規制情報取得 
10/17 05:55:00.531|SCRIPT_START|SCRIPT=規制情報/02_規制情報取得, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=5
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
