10/17 05:51:00.441|EXEC_START  |
10/17 05:51:00.480|START       |NAME=メッセージ取得 
--/-- --:--:--.---|VARIABLE    |NAME=ログレベル, VALUE=I
--/-- --:--:--.---|INFO        |ログレベル(String) 入力=[I]
--/-- --:--:--.---|VARIABLE    |NAME=メッセージ, VALUE=ha0000mvvv000980e41i96psp55o WE0203（サポートサービス等応対情報取込）処理を開始します。
--/-- --:--:--.---|INFO        |メッセージ(String) 入力=[ha0000mvvv000980e41i96psp55o WE0203（サポートサービス等応対情報取込）処理を開始します。]
--/-- --:--:--.---|VARIABLE    |NAME=実行ID, VALUE=ha0000mvvv000980e41i96psp55o
--/-- --:--:--.---|INFO        |実行ID(String) 入力=[ha0000mvvv000980e41i96psp55o]
10/17 05:51:00.483|END         |
10/17 05:51:00.483|BRANCH_START|NAME=ログレベル判定
--/-- --:--:--.---|EVALUATION  |NAME=INFO, RESULT=true
10/17 05:51:00.483|START       |NAME=ログ出力_INFO 
10/17 05:51:00.483|END         |
10/17 05:51:00.483|BRANCH_END  |
10/17 05:51:00.483|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=異常終了, RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=警告終了, RESULT=false
10/17 05:51:00.483|BRANCH_END  |
10/17 05:51:00.483|SCRIPT_END  |EXIT_STATUS=0
10/17 05:51:00.483|END         |
10/17 05:51:00.483|START       |NAME=規制情報設定(開始) 
10/17 05:51:00.483|SCRIPT_START|SCRIPT=規制情報/01_規制情報設定_開始, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=5
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=レコードNo, VALUE=200
10/17 05:51:00.483|TRY_START   |NAME=try_catch
10/17 05:51:00.483|START       |NAME=規制情報更新 [amazon_rds_postgresql_adapter/execute_select_query]
--/-- --:--:--.---|INFO        |[1]件のデータの抽出に成功しました。
10/17 05:51:00.487|END         |
10/17 05:51:00.487|BRANCH_START|NAME=結果判定
--/-- --:--:--.---|EVALUATION  |NAME=更新失敗(規制中), RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=更新失敗(その他エラー), RESULT=false
10/17 05:51:00.487|BRANCH_END  |
10/17 05:51:00.487|TRY_END     |
10/17 05:51:00.487|SCRIPT_END  |EXIT_STATUS=0
10/17 05:51:00.487|END         |
10/17 05:51:00.487|BRANCH_START|NAME=if_2
--/-- --:--:--.---|EVALUATION  |NAME=規制情報設定(開始)エラー, RESULT=false
10/17 05:51:00.487|BRANCH_END  |
10/17 05:51:00.487|START       |NAME=規制情報取得 
10/17 05:51:00.488|SCRIPT_START|SCRIPT=規制情報/02_規制情報取得, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=5
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=レコードNo, VALUE=200
10/17 05:51:00.488|TRY_START   |NAME=try_catch
10/17 05:51:00.488|START       |NAME=規制情報取得 [amazon_rds_postgresql_adapter/execute_select_query]
--/-- --:--:--.---|INFO        |[1]件のデータの抽出に成功しました。
10/17 05:51:00.488|END         |
10/17 05:51:00.488|BRANCH_START|NAME=結果判定
--/-- --:--:--.---|EVALUATION  |NAME=取得成功, RESULT=true
10/17 05:51:00.488|START       |NAME=結果取得2 
10/17 05:51:00.490|END         |
10/17 05:51:00.490|BRANCH_END  |
10/17 05:51:00.490|TRY_END     |
--/-- --:--:--.---|VARIABLE    |NAME=取得結果, VALUE=com.appresso.ds.xmlfw.xml.MemoryXmlData@38681ed1
10/17 05:51:00.490|SCRIPT_END  |EXIT_STATUS=0
10/17 05:51:00.490|END         |
10/17 05:51:00.490|BRANCH_START|NAME=if_3
--/-- --:--:--.---|EVALUATION  |NAME=リトライ超過エラー, RESULT=false
10/17 05:51:00.490|BRANCH_END  |
10/17 05:51:00.490|START       |NAME=レコードタイプId取得 
